target_id,target_key,gene,uniprot,specified_pdb,specified_file_id,source_type,source_path,local_pdb,status,size_bytes
1,metz_001_CLK2,CLK2,P49760,6KHE,1 P49760_PDB_6KHE.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_001_CLK2\metz_001_clk2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_001_CLK2\metz_001_CLK2.pdb,copied,282771
2,metz_002_CSF1R,CSF1R,P07333,4R7I,2 P07333_PDB_4R7I.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_002_CSF1R\metz_002_csf1r.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_002_CSF1R\metz_002_CSF1R.pdb,copied,422091
3,metz_003_LCK,LCK,P06239,1QPC,3 P06239_PDB_1QPC.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_003_LCK\metz_003_lck.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_003_LCK\metz_003_LCK.pdb,copied,241218
4,metz_004_MAP2K2,MAP2K2,P36507,P36507_AF_v2,4 P36507_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_004_MAP2K2\metz_004_map2k2.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_004_MAP2K2\metz_004_MAP2K2.pdb,copied,259280
5,metz_005_MAPK9,MAPK9,P45984,7N8T,5 P45984_PDB_7N8T.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_005_MAPK9\metz_005_mapk9.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_005_MAPK9\metz_005_MAPK9.pdb,copied,300672
6,metz_006_PDGFRA,PDGFRA,P16234,5GRN,6 P16234_PDB_5GRN.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_006_PDGFRA\metz_006_pdgfra.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_006_PDGFRA\metz_006_PDGFRA.pdb,copied,259929
7,metz_007_PRKAA1,PRKAA1,Q13131,	6C9H,7 Q13131_PDB_6C9H.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_007_PRKAA1\metz_007_prkaa1.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_007_PRKAA1\metz_007_PRKAA1.pdb,copied,1280934
8,metz_008_PRKACA,PRKACA,P17612,	3OVV,8 P17612_PDB_3OVV.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_008_PRKACA\metz_008_prkaca.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_008_PRKACA\metz_008_PRKACA.pdb,copied,304884
9,metz_009_PRKX,PRKX,P51817,P51817_AF_v2,9 P51817_AF_v2.pdb,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_009_PRKX\metz_009_prkx.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_009_PRKX\metz_009_PRKX.pdb,copied,240731
10,metz_010_STK6,STK6,O14965,1MUO,10 O14965_PDB_1MUO.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_010_STK6\metz_010_stk6.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_010_STK6\metz_010_STK6.pdb,copied,207360
11,metz_011_INSR,INSR,P06213,3BU3,11 P06213_PDB_3BU3.ent,specified_download_partial,Datasets\Virtual screening\Metz_170_GPCNDTA\complete_filtered_remove_identity30_train_valid\structures_by_target\metz_011_INSR\metz_011_insr.pdb,Datasets\Virtual screening\Metz_170_GPCNDTA\metz_170_complete_filtered_remove_identity30_train_valid\HMRLBA_raw_style\metz_170_clean\pdb_files\metz_011_INSR\metz_011_INSR.pdb,copied,258390
