ID,drug_id,drug_smiles
1,103904189,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
2,103904190,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
3,103904191,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23
4,103904192,Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34
5,103904194,Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F
6,103904195,NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2
7,103904196,Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
8,103904197,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34
9,103904198,c1ccc(cc1)c2ccnc3[nH]ccc23
10,103904199,CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
11,103904201,C(Nc1cc(ncn1)c2c[nH]c3ncccc23)c4ccccc4
12,103904202,NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34
13,103904203,N[C@@H]1CC[C@H](CC1)Nc2nccc(n2)c3c[nH]c4ncccc34
14,103904204,Clc1cc(NC2CCCCC2)nc(n1)c3c[nH]c4ncccc34
15,103904205,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34
16,103904206,OC[C@@H](NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4
17,103904207,CC(C)(C)Nc1ncnc2[nH]cc(c3ccccc3)c12
18,103904208,Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23
19,103904209,OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12
20,103904210,COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
21,103904211,COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
22,103904212,OCCCNc1ncnc2[nH]cc(c3ccccc3)c12
23,103904213,Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
24,103904214,OC1CCN(CC1)c2ncnc3[nH]cc(c4ccccc4)c23
25,103904215,Brc1cnc2[nH]cc(c3ccccc3)c2c1
26,103904216,O[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
27,103904217,NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
28,103904218,CC(C)(CN)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
29,103904219,CC(C)(CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23)CNS(=O)(=O)C
30,103904220,Clc1cc(nc(NC2CCOCC2)n1)c3c[nH]c4ncccc34
31,103904221,NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
32,103904222,CS(=O)(=O)NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
33,103904223,CN(C)C1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
34,103904224,CS(=O)(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
35,103904225,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
36,103904226,CC(C)(CN)CNc1nc(Cl)cc(n1)c2c[nH]c3ncccc23
37,103904227,CNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
38,103904228,CC(C)CN[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
39,103904229,CC(C)(CN)CNc1cc(cc(F)n1)c2c[nH]c3ncccc23
40,103904230,CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
41,103904231,CNCC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
42,103904232,CCNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
43,103904233,COc1ccc(CNc2cc(cc(F)n2)c3c[nH]c4ncccc34)cc1
44,103904234,Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
45,103904235,CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
46,103904236,CN(Cc1ccccc1)c2cc(cc(Cl)n2)c3c[nH]c4ncccc34
47,103904237,C(Nc1nccc(n1)c2c[nH]c3ncccc23)C4CCCCC4
