task,aid,decision,reason,gene,uniprot,protein_name,assay_name,target_name,n_total_compounds,n_labeled,n_active,n_inactive,n_missing
MUV-466,466,exclude,S1P1 potentiator/functional assay; not clean direct binding,S1PR1,P21453,Sphingosine 1-phosphate receptor 1,Dose Response Assays for S1P1 Agonists and Agonism Potentiators - Potentiator Assay 60K MLSMR,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 [Homo sapiens]",93087,14841,27,14814,78246
MUV-548,548,keep,biochemical kinase inhibition; single human target PRKACA,PRKACA,P17612,cAMP-dependent protein kinase catalytic subunit alpha,Dose-response biochemical assay for inhibitors of protein kinase A (PKA) activity,cAMP-dependent protein kinase catalytic subunit alpha isoform 1 [Homo sapiens],93087,14734,29,14705,78353
MUV-600,600,exclude,cell-based SF-1 inhibitor assay; functional readout,NR5A1,Q13285,Steroidogenic factor 1,Dose-response cell-based assay for inhibitors of the nuclear receptor Steroidogenic Factor 1 (SF-1),"nuclear receptor subfamily 5, group A, member 1 [Homo sapiens]",93087,14728,30,14698,78359
MUV-644,644,keep,biochemical kinase inhibition; single human target ROCK2,ROCK2,O75116,Rho-associated protein kinase 2,Dose-response biochemical assay of inhibitors of Rho kinase 2 (Rock2) ,"Rho-associated, coiled-coil containing protein kinase 2 [Homo sapiens]",93087,14623,30,14593,78464
MUV-652,652,cautious_keep,viral HIV-1 RT RNase H assay; target can be mapped but not human,pol,P04585,Gag-Pol polyprotein / HIV-1 reverse transcriptase region,HIV-1 RT-RNase H  MLSCN MH077605 Probe Assessment: Dose response Assay,"Chain A, Hiv-1 Reverse Transcriptase Mol_id: 1; Molecule: Hiv-1 Reverse Transcriptase; Chain: A, B; Synonym: Hiv-1 Rt; Ec: 2.7.7.49; Engineered: Yes",93087,14902,29,14873,78185
MUV-689,689,cautious_keep,mouse EphA4; usable but species differs from human benchmarks,Epha4,Q03137,Ephrin type-A receptor 4,Colorimetric assay for HTS discovery of chemical inhibitors of EphA4 receptor antagonists,Eph receptor A4 [Mus musculus],93087,14601,29,14572,78486
MUV-692,692,exclude,cell-based SF-1 activator assay; functional readout,NR5A1,Q13285,Steroidogenic factor 1,Dose-response cell-based assay for activators of the nuclear receptor Steroidogenic Factor 1 (SF-1),"nuclear receptor subfamily 5, group A, member 1 [Homo sapiens]",93087,14644,30,14614,78443
MUV-712,712,exclude,HSP90 assay has two target annotations alpha/beta; multi-target ambiguity,HSP90AA1;HSP90AB1,P07900;P08238,Heat shock protein HSP 90-alpha | Heat shock protein HSP 90-beta,Tumor Hsp90 Inhibitors Dose Response Confirmation,"90-kda heat shock protein beta HSP90 beta [Homo sapiens] | heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 2 [Homo sapiens]",93087,14411,28,14383,78676
MUV-713,713,exclude,ER-alpha coactivator binding assay; cofactor/interface-specific,ESR1,P03372,Estrogen receptor,Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation,Estrogen receptor 1 [Homo sapiens],93087,14836,29,14807,78251
MUV-733,733,exclude,ER-beta coactivator binding assay; cofactor/interface-specific,ESR2,Q92731,Estrogen receptor beta,Estrogen Receptor-beta Coactivator Binding Inhibitors Dose Response Confirmation,estrogen receptor beta isoform 1 [Homo sapiens],93087,14682,28,14654,78405
MUV-737,737,exclude,ER-alpha coactivator potentiator assay; functional/cofactor-specific,ESR1,P03372,Estrogen receptor,Estrogen Receptor-alpha Coactivator Binding Potentiators Dose Response Confirmation,Estrogen receptor 1 [Homo sapiens],93087,14691,29,14662,78396
MUV-810,810,keep,biochemical kinase inhibition; single human target PTK2/FAK,PTK2,Q05397,Focal adhesion kinase 1,Dose-response biochemical assay for inhibitors of Focal Adhesion Kinase (FAK),Focal adhesion kinase 1 (FADK 1) (pp125FAK) (Protein-tyrosine kinase 2).,93087,14644,29,14615,78443
MUV-832,832,keep,dose-response enzyme/protease confirmation; single human target CTSG,CTSG,P08311,Cathepsin G,Cathepsin G dose-response confirmation,Cathepsin G [Homo sapiens],93087,14667,30,14637,78420
MUV-846,846,keep,dose-response enzyme/coagulation factor assay; single human target F11,F11,P03951,Coagulation factor XI,Factor XIa 1536 HTS Dose Response Confirmation,coagulation factor XI,93087,14711,30,14681,78376
MUV-852,852,keep,dose-response enzyme/coagulation factor assay; single human target F12,F12,P00748,Coagulation factor XII,Factor XIIa 1536 HTS Dose Response Confirmation,RecName: Full=Coagulation factor XII; AltName: Full=Hageman factor; Short=HAF; Contains: RecName: Full=Coagulation factor XIIa heavy chain; Contains: RecName: Full=Beta-factor XIIa part 1; Contains: RecName: Full=Beta-factor XIIa part 2; Contains: RecName: Full=Coagulation factor XIIa light chain; Flags: Precursor,93087,14651,29,14622,78436
MUV-858,858,exclude,D1 receptor allosteric modulator functional assay,DRD1,P21728,D(1A) dopamine receptor,Allosteric Modulators of D1 Receptors: Dose-dependent Assay,dopamine D1 receptor; DA D1 receptor [Homo sapiens],93087,14774,29,14745,78313
MUV-859,859,exclude,M1 muscarinic receptor allosteric antagonist functional assay,CHRM1,P11229,Muscarinic acetylcholine receptor M1,Discovery of novel allosteric modulators of the M1 muscarinic receptor: Antagonist Dose-Response Assay,Muscarinic acetylcholine receptor M1.,93087,14746,24,14722,78341
